country,iso2c,iso3c,year,NY.GDP.PCAP.KD
Brazil,BR,BRA,2022,8831.12772868621
Brazil,BR,BRA,2021,8621.7315820454
Brazil,BR,BRA,2020,8255.56801342826
Brazil,BR,BRA,2019,8592.21120694388
Brazil,BR,BRA,2018,8553.86590205122
Brazil,BR,BRA,2017,8470.94060378721
Brazil,BR,BRA,2016,8426.84322068885
Brazil,BR,BRA,2015,8783.2154236384
Brazil,BR,BRA,2014,9183.4597265639
Brazil,BR,BRA,2013,9216.13227969168
Brazil,BR,BRA,2012,9025.31399621852
Brazil,BR,BRA,2011,8935.27731401951
Brazil,BR,BRA,2010,8673.89838344205
Brazil,BR,BRA,2009,8142.76104834465
Brazil,BR,BRA,2008,8231.10037274506
Brazil,BR,BRA,2007,7909.82524736396
Brazil,BR,BRA,2006,7534.54250017952
Brazil,BR,BRA,2005,7325.90355034829
Brazil,BR,BRA,2004,7178.34748516711
Brazil,BR,BRA,2003,6865.17325047655
Brazil,BR,BRA,2002,6868.69590695211
Brazil,BR,BRA,2001,6749.88160346537
Brazil,BR,BRA,2000,6745.85777056386
Brazil,BR,BRA,1999,6551.22667109972
Brazil,BR,BRA,1998,6613.98318082927
Brazil,BR,BRA,1997,6689.19937656168
Brazil,BR,BRA,1996,6567.3524607614
Brazil,BR,BRA,1995,6524.51885337322
Brazil,BR,BRA,1994,6358.67878741759
Brazil,BR,BRA,1993,6103.37721528216
Brazil,BR,BRA,1992,5911.68702310619
Brazil,BR,BRA,1991,6043.43263411812
Brazil,BR,BRA,1990,6086.07755287989
Brazil,BR,BRA,1989,6479.069095695
Brazil,BR,BRA,1988,6399.48436752405
Brazil,BR,BRA,1987,6528.62346899947
Brazil,BR,BRA,1986,6433.49798224459
Brazil,BR,BRA,1985,6110.35840131311
Brazil,BR,BRA,1984,5788.08717052091
Brazil,BR,BRA,1983,5613.61151866736
Brazil,BR,BRA,1982,5914.56507751669
Brazil,BR,BRA,1981,6001.64498975535
Brazil,BR,BRA,1980,6415.63781307471
Brazil,BR,BRA,1979,6014.86735299888
Brazil,BR,BRA,1978,5768.42621601034
Brazil,BR,BRA,1977,5626.71699634148
Brazil,BR,BRA,1976,5489.98006420902
Brazil,BR,BRA,1975,5097.70833229032
Brazil,BR,BRA,1974,4962.92236615534
Brazil,BR,BRA,1973,4699.43968925884
Brazil,BR,BRA,1972,4224.19616113049
Brazil,BR,BRA,1971,3866.38544006014
Brazil,BR,BRA,1970,3558.85233348657
Brazil,BR,BRA,1969,3304.85627138929
Brazil,BR,BRA,1968,3095.22191072326
Brazil,BR,BRA,1967,2892.6842447479
Brazil,BR,BRA,1966,2850.90134598625
Brazil,BR,BRA,1965,2746.25804166686
Brazil,BR,BRA,1964,2758.86328946951
Brazil,BR,BRA,1963,2746.51375008997
